model,avg_winrate_as_t1,avg_winrate_as_t2,avg_winrate_overall,avg_score_diff_as_t1,avg_score_diff_as_t2,avg_score_diff_overall
RANDOM,0.8857142857142856,0.6,0.7428571428571428,108.34285714285714,83.54285714285716,95.94285714285715
IPPO,0.8571428571428571,0.6,0.7285714285714285,112.11428571428571,85.60000000000001,98.85714285714286
IPPO_POOL,0.7999999999999999,0.5714285714285714,0.6857142857142857,101.82857142857142,82.62857142857142,92.22857142857143
MAPPO_POOL,0.5428571428571428,0.7428571428571429,0.6428571428571428,57.42857142857143,65.02857142857142,61.22857142857143
QMIX,0.6,0.6,0.6,102.34285714285714,90.74285714285715,96.54285714285714
MAPPO,0.2857142857142857,0.2857142857142857,0.2857142857142857,49.142857142857146,67.2,58.17142857142858
MAPPO_PIXEL,0.0,0.14285714285714285,0.07142857142857142,-275.65714285714284,-232.28571428571428,-253.97142857142856
IPPO_PIXEL,0.0,0.0,0.0,-274.45714285714286,-223.54285714285714,-249.0
